exit_n,time,run
78,25.024999999999647,4
79,25.099999999999643,4
80,25.64999999999961,4
81,25.724999999999607,4
82,26.02499999999959,4
83,26.19999999999958,4
84,26.69999999999955,4
85,26.824999999999545,4
86,26.949999999999537,4
87,27.574999999999502,4
88,27.649999999999498,4
89,27.649999999999498,4
90,28.49999999999945,4
91,28.624999999999442,4
92,28.64999999999944,4
93,29.099999999999415,4
94,29.17499999999941,4
95,29.649999999999384,4
96,29.974999999999365,4
97,30.22499999999935,4
98,30.27499999999935,4
99,30.899999999999313,4
100,31.1499999999993,4
101,31.29999999999929,4
102,31.49999999999928,4
103,31.84999999999926,4
104,32.149999999999245,4
105,32.27499999999924,4
106,33.024999999999196,4
107,33.14999999999919,4
108,33.399999999999174,4
109,33.59999999999916,4
110,33.924999999999145,4
111,33.99999999999914,4
112,34.424999999999116,4
113,34.87499999999909,4
114,35.17499999999907,4
115,35.37499999999906,4
116,35.57499999999905,4
117,35.94999999999903,4
118,36.07499999999902,4
119,36.14999999999902,4
120,36.749999999998984,4
121,36.82499999999898,4
122,37.074999999998965,4
123,37.64999999999893,4
124,37.64999999999893,4
125,38.42499999999889,4
126,38.44999999999889,4
127,39.024999999998855,4
128,39.024999999998855,4
129,39.24999999999884,4
130,39.874999999998806,4
131,40.074999999998795,4
132,40.37499999999878,4
133,40.57499999999877,4
134,40.89999999999875,4
135,41.27499999999873,4
136,41.44999999999872,4
137,41.57499999999871,4
138,42.09999999999868,4
139,42.14999999999868,4
140,42.29999999999867,4
141,42.92499999999863,4
142,42.97499999999863,4
143,43.12499999999862,4
144,43.774999999998585,4
145,43.89999999999858,4
146,44.49999999999854,4
147,44.49999999999854,4
148,45.174999999998505,4
149,45.42499999999849,4
150,45.44999999999849,4
151,46.09999999999845,4
152,46.224999999998445,4
153,46.44999999999843,4
154,46.62499999999842,4
155,46.9999999999984,4
156,47.0749999999984,4
157,47.49999999999837,4
158,47.87499999999835,4
159,48.149999999998336,4
160,48.39999999999832,4
161,49.14999999999828,4
162,49.224999999998275,4
163,49.82499999999824,4
164,50.449999999998205,4
165,50.4999999999982,4
166,51.02499999999817,4
167,51.174999999998164,4
168,51.59999999999814,4
169,51.82499999999813,4
170,51.92499999999812,4
171,52.374999999998096,4
172,52.574999999998084,4
173,53.04999999999806,4
174,53.29999999999804,4
175,53.49999999999803,4
176,53.89999999999801,4
177,54.27499999999799,4
178,54.649999999997966,4
179,54.97499999999795,4
180,55.17499999999794,4
181,55.8249999999979,4
182,55.94999999999789,4
183,56.424999999997866,4
184,56.799999999997844,4
185,57.37499999999781,4
186,57.474999999997806,4
187,57.77499999999779,4
188,58.29999999999776,4
189,58.374999999997755,4
190,58.97499999999772,4
191,59.09999999999771,4
192,59.57499999999769,4
193,59.82499999999767,4
194,60.04999999999766,4
195,60.59999999999763,4
196,61.22499999999759,4
197,61.67499999999757,4
198,62.27499999999753,4
199,62.47499999999752,4
0,0.5000000000000001,5
1,1.3749999999999991,5
2,2.0499999999999967,5
3,2.7249999999999943,5
4,3.2249999999999925,5
5,3.349999999999992,5
6,3.7249999999999908,5
7,4.099999999999991,5
8,4.299999999999994,5
9,5.2750000000000075,5
10,5.600000000000012,5
11,6.300000000000022,5
12,6.450000000000024,5
13,6.500000000000025,5
14,7.125000000000034,5
15,7.700000000000042,5
16,7.9500000000000455,5
17,8.450000000000053,5
18,8.650000000000055,5
19,9.075000000000061,5
20,9.175000000000063,5
21,9.425000000000066,5
22,9.875000000000073,5
23,9.975000000000074,5
24,10.100000000000076,5
25,10.550000000000082,5
26,10.900000000000087,5
27,11.05000000000009,5
28,11.525000000000096,5
29,11.8250000000001,5
30,12.100000000000104,5
31,12.275000000000107,5
32,12.350000000000108,5
33,13.000000000000117,5
34,13.100000000000119,5
35,13.125000000000119,5
36,13.775000000000128,5
37,13.85000000000013,5
38,14.450000000000138,5
39,14.475000000000138,5
40,14.825000000000143,5
41,15.125000000000147,5
42,15.475000000000152,5
43,15.625000000000155,5
44,16.125000000000153,5
45,16.20000000000015,5
46,16.800000000000114,5
47,16.975000000000104,5
48,17.22500000000009,5
49,17.75000000000006,5
50,17.77500000000006,5
51,18.10000000000004,5
52,18.500000000000018,5
53,18.700000000000006,5
54,18.97499999999999,5
55,19.474999999999962,5
56,19.799999999999944,5
57,19.924999999999937,5
58,20.42499999999991,5
59,20.5499999999999,5
60,20.624999999999897,5
61,20.649999999999896,5
