t,r,v
3.4400,-0.08394292445446087,0
3.4600,-0.07640856130440747,0
3.4800,-0.06480245846570981,0
3.5000,-0.049890018769841504,0
3.5200,-0.03260046060528314,0
3.5400,-0.01397010567619276,0
3.5600,0.004918740726793399,0
3.5800,0.02299976602771977,0
3.6000,0.03928198431662756,0
3.6200,0.052903175731096236,0
3.6400,0.0631746011417128,0
3.6600,0.06961473089490314,0
3.6800,0.07197040600279293,0
3.7000,0.07022459933796185,0
3.7200,0.06459071912935803,0
3.7400,0.05549415320713586,0
3.7600,0.043542448137539,0
3.7800,0.029486115322004694,0
3.8000,0.01417252553702637,0
3.8200,-0.0015043284344267455,0
3.8400,-0.016655268062246906,0
3.8600,-0.030445646598640703,0
3.8800,-0.04214060880123559,0
3.9000,-0.05114348085890292,0
3.9200,-0.05702533163374199,0
3.9400,-0.05954429650232345,0
3.9600,-0.05865386873408554,0
3.9800,-0.05450000429102513,0
4.0000,-0.047407517466211455,0
4.0200,-0.03785683175688366,0
4.0400,-0.026452661132573156,0
4.0600,-0.013886604931629885,0
4.0800,-0.0008959249917001066,0
4.1000,0.011779076226608188,0
4.1200,0.023436647457447276,0
4.1400,0.03345184749474592,0
4.1600,0.04130941994333718,0
4.1800,0.04662959233879242,0
4.2000,0.049185552469648404,0
4.2200,0.04891185649499037,0
4.2400,0.04590355286887192,0
4.2600,0.040406332699096895,0
4.2800,0.032798511534874106,0
4.3000,0.023566082886712667,0
4.3200,0.01327243728991101,0
4.3400,0.0025245949142369516,0
4.3600,-0.008062056857235317,0
4.3800,-0.01789850172868008,0
4.4000,-0.02645437577930754,0
4.4200,-0.03328605104636588,0
4.4400,-0.03805906509226815,0
4.4600,-0.04056379826575957,0
4.4800,-0.04072370988092331,0
4.5000,-0.038595881134135174,0
4.5200,-0.034364051016586065,0
4.5400,-0.028324747125152965,0
4.5600,-0.020867483465452846,0
4.5800,-0.012450302602837358,0
4.6000,-0.0035721645637933532,0
4.6200,0.005256180636458904,0
4.6400,0.013541161052684127,0
4.6600,0.02083357180705944,0
4.6800,0.026752510744278833,0
4.7000,0.03100481039308772,0
4.7200,0.03339900360816675,0
4.7400,0.03385319385813371,0
4.7600,0.03239656058870983,0
4.7800,0.029164594542233063,0
4.8000,0.02438850678160548,0
4.8200,0.018379569327689933,0
4.8400,0.01150940813777472,0
4.8600,0.00418746733985852,0
4.8800,-0.0031630120980202427,0
4.9000,-0.010129110627240935,0
4.9200,-0.016331090350109642,0
4.9400,-0.021442750965151112,0
4.9600,-0.025208210678001233,0
4.9800,-0.027454271929308705,0
5.0000,-0.028097802999500335,0
